No. of points(n), No. of dimensions(d), Seed chosen(r), Size of subset(k), Cost ||P - UX||, Sparsity, Epsilon
351,34,98,197,7.2022e-14,0.16329,1
351,34,17,199,6.3051e-14,0.16209,1
351,34,35,199,6.0848e-14,0.16216,1
351,34,290,199,5.8276e-14,0.16215,1
351,34,244,194,6.2707e-14,0.16633,1
351,34,112,196,5.8678e-14,0.16415,1
351,34,334,195,6.9399e-14,0.16548,1
351,34,13,201,5.1402e-14,0.16051,1
351,34,154,198,6.7849e-14,0.16341,1
351,34,134,200,6.338e-14,0.16088,1
351,34,269,199,5.8621e-14,0.16123,1
351,34,280,200,6.3979e-14,0.16132,1
351,34,66,199,6.4008e-14,0.16214,1
351,34,172,199,6.7303e-14,0.16122,1
351,34,157,197,5.5664e-14,0.16333,1
351,34,227,199,5.861e-14,0.16216,1
351,34,249,199,6.1472e-14,0.16211,1
351,34,265,198,5.5646e-14,0.16247,1
351,34,97,200,6.2813e-14,0.16177,1
351,34,239,197,5.6831e-14,0.1638,1
351,34,230,197,5.9855e-14,0.16424,1
351,34,58,201,6.2342e-14,0.1601,1
351,34,42,200,6.862e-14,0.16224,1
351,34,175,198,6.6909e-14,0.16248,1
351,34,337,199,5.8721e-14,0.16166,1
351,34,120,200,6.3624e-14,0.16132,1
351,34,206,198,5.5282e-14,0.16249,1
351,34,79,198,6.1222e-14,0.16202,1
351,34,264,199,5.6189e-14,0.16169,1
351,34,90,194,5.4507e-14,0.16539,1
351,34,178,199,5.2166e-14,0.16125,1
351,34,246,195,5.297e-14,0.16496,1
351,34,313,197,6.6915e-14,0.16377,1
351,34,337,199,5.8721e-14,0.16166,1
351,34,193,197,5.5026e-14,0.1638,1
351,34,49,200,5.6995e-14,0.16087,1
351,34,53,199,6.201e-14,0.16123,1
351,34,91,199,6.9924e-14,0.16171,1
351,34,296,197,5.7003e-14,0.16241,1
351,34,90,194,5.4507e-14,0.16539,1
351,34,286,201,5.6814e-14,0.15918,1
351,34,86,200,5.5924e-14,0.16088,1
351,34,327,199,7.8886e-14,0.16123,1
351,34,123,199,5.3786e-14,0.16215,1
351,34,70,200,5.9075e-14,0.16174,1
351,34,89,198,5.874e-14,0.16203,1
351,34,217,199,6.1427e-14,0.16168,1
351,34,167,199,6.0477e-14,0.16258,1
351,34,124,201,5.8388e-14,0.15963,1
351,34,292,199,6.0113e-14,0.15984,1
