n, d, epsilon, tau, k, reconstruction_error, sparsity_coeff, sparsity (L1 norm), cost_func, memory_initial, memory_final, compression_ratio

351,34,1.4024,0.01,93,2.776,0.99779,9.2678,12.044,11934,35733,2.9942
351,34,1.4024,0.02,93,2.9085,0.99295,18.048,20.956,11934,35575,2.981
351,34,1.4024,0.03,93,3.2928,0.98628,26.385,29.678,11934,35357,2.9627
351,34,1.4024,0.04,93,3.6954,0.97779,34.353,38.048,11934,35080,2.9395
351,34,1.4024,0.05,93,4.1082,0.96802,42.042,46.15,11934,34761,2.9128
351,34,1.4024,0.06,93,4.2999,0.9576,49.387,53.687,11934,34421,2.8843
351,34,1.4024,0.07,93,4.6177,0.94023,56.342,60.96,11934,33854,2.8368
351,34,1.4024,0.08,93,5.0115,0.92384,62.996,68.007,11934,33319,2.7919
351,34,1.4024,0.09,93,5.2045,0.91364,69.236,74.441,11934,32986,2.764
351,34,1.4024,0.1,93,5.332,0.88828,74.851,80.183,11934,32158,2.6947
351,34,1.4024,0.11,93,5.6459,0.87636,80.432,86.078,11934,31769,2.6621
351,34,1.4024,0.12,93,5.6985,0.84888,85.275,90.973,11934,30872,2.5869
351,34,1.4024,0.13,93,5.7745,0.82214,89.019,94.793,11934,29999,2.5137
351,34,1.4024,0.14,93,6.0162,0.80553,94.915,100.93,11934,29457,2.4683
351,34,1.4024,0.15,93,6.2628,0.78268,98.048,104.31,11934,28711,2.4058
351,34,1.4024,0.16,93,6.3553,0.77392,103.36,109.71,11934,28425,2.3819
351,34,1.4024,0.17,93,6.4646,0.74276,105.97,112.43,11934,27408,2.2966
351,34,1.4024,0.18,93,6.8277,0.74953,112.43,119.26,11934,27629,2.3151
351,34,1.4024,0.19,93,6.6395,0.71571,114.93,121.57,11934,26525,2.2226
351,34,1.4024,0.2,93,6.8279,0.68771,115.28,122.1,11934,25611,2.1461
351,34,1.4024,0.21,93,7.0103,0.69114,121.51,128.52,11934,25723,2.1554
351,34,1.4024,0.22,93,7.2501,0.67684,127.43,134.68,11934,25256,2.1163
351,34,1.4024,0.23,93,7.1709,0.64657,126.82,133.99,11934,24268,2.0335
351,34,1.4024,0.24,93,7.3496,0.64822,130.97,138.32,11934,24322,2.038
351,34,1.4024,0.25,93,7.5676,0.62745,134.26,141.83,11934,23644,1.9812
351,34,1.4024,0.26,93,7.9216,0.6273,139.02,146.94,11934,23639,1.9808
351,34,1.4024,0.27,93,8.0414,0.61293,142,150.05,11934,23170,1.9415
351,34,1.4024,0.28,93,7.9789,0.60466,146.15,154.13,11934,22900,1.9189
351,34,1.4024,0.29,93,8.0076,0.58524,148.98,156.99,11934,22266,1.8658
351,34,1.4024,0.3,93,8.2521,0.57593,152.51,160.76,11934,21962,1.8403
351,34,1.4024,0.31,93,8.3636,0.55464,154.1,162.46,11934,21267,1.7821
351,34,1.4024,0.32,93,8.5813,0.55657,158.85,167.43,11934,21330,1.7873
351,34,1.4024,0.33,93,8.4924,0.54119,159.42,167.91,11934,20828,1.7453
351,34,1.4024,0.34,93,8.6678,0.53531,162.42,171.09,11934,20636,1.7292
351,34,1.4024,0.35,93,8.7592,0.52253,165.88,174.64,11934,20219,1.6942
351,34,1.4024,0.36,93,9.0654,0.53509,173.15,182.22,11934,20629,1.7286
351,34,1.4024,0.37,93,8.9213,0.51579,173.24,182.16,11934,19999,1.6758
351,34,1.4024,0.38,93,9.076,0.50954,177.9,186.98,11934,19795,1.6587
351,34,1.4024,0.39,93,9.3221,0.50155,179.02,188.34,11934,19534,1.6368
351,34,1.4024,0.4,93,9.3449,0.49211,181.71,191.06,11934,19226,1.611
351,34,1.4024,0.41,93,9.2591,0.47578,183.19,192.45,11934,18693,1.5664
351,34,1.4024,0.42,93,9.4909,0.47153,185.57,195.06,11934,18554,1.5547
351,34,1.4024,0.43,93,9.3478,0.45443,187.55,196.89,11934,17996,1.508
351,34,1.4024,0.44,93,9.366,0.4404,187.46,196.83,11934,17538,1.4696
351,34,1.4024,0.45,93,9.76,0.4571,194.83,204.59,11934,18083,1.5153
351,34,1.4024,0.46,93,9.7642,0.4442,196.51,206.28,11934,17662,1.48
351,34,1.4024,0.47,93,9.8069,0.43847,200.33,210.14,11934,17475,1.4643
351,34,1.4024,0.48,93,9.8386,0.42836,202.02,211.85,11934,17145,1.4367
351,34,1.4024,0.49,93,9.9358,0.42046,202.73,212.66,11934,16887,1.415
351,34,1.4024,0.5,93,10.033,0.4154,207.54,217.57,11934,16722,1.4012
351,34,1.4024,0.51,93,10.515,0.42977,214.83,225.35,11934,17191,1.4405
351,34,1.4024,0.52,93,10.516,0.4071,212.43,222.94,11934,16451,1.3785
351,34,1.4024,0.53,93,10.74,0.4135,220.2,230.94,11934,16660,1.396
351,34,1.4024,0.54,93,10.484,0.39276,217.3,227.78,11934,15983,1.3393
351,34,1.4024,0.55,93,10.593,0.39059,219.25,229.84,11934,15912,1.3333
351,34,1.4024,0.56,93,10.592,0.38462,221.95,232.54,11934,15717,1.317
351,34,1.4024,0.57,93,10.589,0.36872,221.72,232.31,11934,15198,1.2735
351,34,1.4024,0.58,93,10.971,0.38753,230.41,241.38,11934,15812,1.325
351,34,1.4024,0.59,93,10.951,0.37166,230.82,241.77,11934,15294,1.2815
351,34,1.4024,0.6,93,10.987,0.36348,231.59,242.57,11934,15027,1.2592
351,34,1.4024,0.61,93,10.961,0.35769,232.73,243.69,11934,14838,1.2433
351,34,1.4024,0.62,93,11.017,0.35371,237.55,248.57,11934,14708,1.2324
351,34,1.4024,0.63,93,11.281,0.35925,242.02,253.3,11934,14889,1.2476
351,34,1.4024,0.64,93,11.382,0.35389,243.95,255.34,11934,14714,1.2329
351,34,1.4024,0.65,93,11.423,0.34834,243.35,254.77,11934,14533,1.2178
351,34,1.4024,0.66,93,11.749,0.35125,249.5,261.25,11934,14628,1.2257
351,34,1.4024,0.67,93,11.705,0.33977,251.61,263.32,11934,14253,1.1943
351,34,1.4024,0.68,93,11.559,0.333,250.27,261.83,11934,14032,1.1758
351,34,1.4024,0.69,93,11.523,0.3197,250.49,262.01,11934,13598,1.1394
351,34,1.4024,0.7,93,11.732,0.32506,254.94,266.67,11934,13773,1.1541
351,34,1.4024,0.71,93,11.79,0.32059,258.32,270.11,11934,13627,1.1419
351,34,1.4024,0.72,93,11.97,0.32025,261.11,273.08,11934,13616,1.1409
351,34,1.4024,0.73,93,11.749,0.30794,261.63,273.38,11934,13214,1.1073
351,34,1.4024,0.74,93,12.237,0.31731,266.91,279.15,11934,13520,1.1329
351,34,1.4024,0.75,93,12.096,0.3114,269.54,281.63,11934,13327,1.1167
351,34,1.4024,0.76,93,12.514,0.32151,275.26,287.78,11934,13657,1.1444
351,34,1.4024,0.77,93,12.432,0.31155,275.68,288.11,11934,13332,1.1171
351,34,1.4024,0.78,93,12.651,0.30781,277.5,290.15,11934,13210,1.1069
351,34,1.4024,0.79,93,12.707,0.30503,280.48,293.19,11934,13119,1.0993
351,34,1.4024,0.8,93,12.734,0.30273,280.22,292.95,11934,13044,1.093
351,34,1.4024,0.81,93,12.975,0.30494,283.72,296.7,11934,13116,1.099
351,34,1.4024,0.82,93,12.933,0.2955,286.95,299.88,11934,12808,1.0732
351,34,1.4024,0.83,93,12.85,0.29182,289.02,301.87,11934,12688,1.0632
351,34,1.4024,0.84,93,12.944,0.28631,290.54,303.48,11934,12508,1.0481
351,34,1.4024,0.85,93,13.091,0.28747,293.61,306.7,11934,12546,1.0513
351,34,1.4024,0.86,93,13.039,0.28447,295.76,308.8,11934,12448,1.0431
351,34,1.4024,0.87,93,12.849,0.26995,292.71,305.56,11934,11974,1.0034
351,34,1.4024,0.88,93,13.143,0.27194,297.6,310.75,11934,12039,1.0088
351,34,1.4024,0.89,93,13.272,0.27259,301.99,315.26,11934,12060,1.0106
351,34,1.4024,0.9,93,13.561,0.27733,305.73,319.3,11934,12215,1.0235
351,34,1.4024,0.91,93,13.381,0.26422,303.69,317.07,11934,11787,0.98768
351,34,1.4024,0.92,93,13.402,0.26033,304.44,317.84,11934,11660,0.97704
351,34,1.4024,0.93,93,13.409,0.25929,308.37,321.78,11934,11626,0.97419
351,34,1.4024,0.94,93,13.579,0.26183,313.61,327.19,11934,11709,0.98115
351,34,1.4024,0.95,93,13.632,0.25868,313.7,327.33,11934,11606,0.97252
351,34,1.4024,0.96,93,13.711,0.25289,316.05,329.76,11934,11417,0.95668
351,34,1.4024,0.97,93,13.717,0.2478,315.61,329.33,11934,11251,0.94277
351,34,1.4024,0.98,93,13.84,0.25457,322.22,336.06,11934,11472,0.96129
351,34,1.4024,0.99,93,13.681,0.24195,318.73,332.42,11934,11060,0.92676
351,34,1.4024,1,93,13.95,0.24336,323.6,337.55,11934,11106,0.93062
